Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
228/01,Single M/L,BFB,SC,,06-08-2020,29-08-2021,,,,,,,,,,,
228/02,Single M/L,BFB,SC,,06-08-2020,29-08-2021,,,,,,,,,,,
228/03,Single M/L,BFB,SC,,06-08-2020,29-08-2021,,,,,,,,,,,
228/04,Single M/L,BFB,SC,,06-08-2020,29-08-2021,,,,,,,,,,,
228/05,Single M/L,RSJ,SC,,06-08-2020,29-08-2021,17-04-2022,,,,,,,,,,
228/05N,Single M/L,,SC/DC/TC,,,07-07-2021,,,,,,,,,,,
228/06,Single M/L,B-150,DC,,02-08-2020,07-07-2021,17-04-2022,,,,,,,,,,
228/07,Single M/L,B-200,DC,,02-08-2020,07-07-2021,,,,,,,,,,,
228/08,Single M/L,B-200,DC,,13-10-2020,,overdue,,,,,,,,,,
228/09,Single M/L,RSJ,DC,,13-10-2020,29-08-2021,,,,,,,,,,,
228/10,Single M/L,B-200,TC,,06-08-2020,16-05-2021,17-04-2022,,,,,,,,,,
228/11,Single M/L,PORTAL,SC,,06-08-2020,16-05-2021,17-04-2022,,,,,,,,,,
228/12,Single M/L,PORTAL,DC,,06-08-2020,29-08-2021,,,,,,,,,,,
228/13,Single M/L,TTC,SC,,,29-08-2021,,,,,,,,,,,
228/15,Single M/L,PORTAL,SC,,,29-08-2021,,,,,,,,,,,
228/17,Single M/L,PORTAL,SC,,,29-08-2021,,,,,,,,,,,
228/19,Single M/L,PORTAL,SC,,,16-05-2021,,,,,,,,,,,
228/21,Single M/L,PORTAL,SC,,,16-05-2021,,,,,,,,,,,
228/23,Single M/L,PORTAL,SC,,,16-05-2021,,,,,,,,,,,
228/11,SPP YARD L-1,PORTAL,SC,,,16-05-2021,,,,,,,,,,,
SPP/1002,SPP YARD L-1,BFB,SC,11-05-2019,06-08-2020,30-08-2021,,,,,,,,,,,
228/15,SPP YARD L-1,PORTAL,SC,11-05-2019,,30-08-2021,,,,,,,,,,,
228/17,SPP YARD L-1,PORTAL,SC,11-05-2019,,30-08-2021,,,,,,,,,,,
