,Mast type.,location no.,last maintenance,Overdue date
0,PORTAL,246/27,2/6/2021,3/6/2022
1,PORTAL,246/29,2/6/2021,3/6/2022
2,B-200,246/31,2/6/2021,3/6/2022
3,B-150,DES/1001,2/6/2021,3/6/2022
4,PORTAL,246/30,2/6/2021,3/6/2022
5,B-200,247/01,2/6/2021,3/6/2022
6,B-200,247/02,2/6/2021,3/6/2022
7,B-200,260/01,7/6/2021,8/6/2022
8,B-200,260/02,7/6/2021,8/6/2022
9,B-200,260/03,7/6/2021,8/6/2022
10,B-200,260/04,7/6/2021,8/6/2022
11,TTC,260/05,7/6/2021,8/6/2022
12,TTC,260/07,7/6/2021,8/6/2022
13,PORTAL,260/29,8/6/2021,9/6/2022
14,TTC,CKRD/1001,7/6/2021,8/6/2022
15,TTC,CKRD/1005,8/6/2021,9/6/2022
16,TTC,260/06,7/6/2021,8/6/2022
17,TTC,CKRD/1006,8/6/2021,9/6/2022
18,TTC,261/01,8/6/2021,9/6/2022
19,B-200,261/02,8/6/2021,9/6/2022
20,RSJ,CKRD/1008,8/6/2021,9/6/2022
21,,261/1003,8/6/2021,9/6/2022
22,,261/03A,8/6/2021,9/6/2022
23,B-200,261/03,8/6/2021,9/6/2022
24,B-150,264/06,18/6/2021,19/6/2022
25,B-200,HJP/4009,1/6/2021,2/6/2022
26,B-200,HJP/4006B,1/6/2021,2/6/2022
27,TTC,278/33,14/6/2021,15/6/2022
28,PORTAL,278/35,14/6/2021,15/6/2022
29,B-150,278/18,22/6/2021,23/6/2022
30,B-200,290/23,10/6/2021,11/6/2022
31,PORTAL,290/31,4/6/2021,5/6/2022
32,PORTAL,290/32,19/6/2021,20/6/2022
33,PORTAL,290/34,19/6/2021,20/6/2022
34,PORTAL,290/31,4/6/2021,5/6/2022
35,BFB,STLR/1001,4/6/2021,5/6/2022
36,TTC,291/19,3/6/2021,4/6/2022
37,B-150,291/21,3/6/2021,4/6/2022
38,PORTAL,290/32,19/6/2021,20/6/2022
39,B-150,291/21,3/6/2021,4/6/2022
40,B-200,291/23,3/6/2021,4/6/2022
41,B-200,291/25,3/6/2021,4/6/2022
42,B-150,291/26,10/6/2021,11/6/2022
43,BFB,292/01,3/6/2021,4/6/2022
44,RSJ,292/03,3/6/2021,4/6/2022
45,RSJ,292/05,3/6/2021,4/6/2022
46,RSJ,292/07,3/6/2021,4/6/2022
47,RSJ,292/09,3/6/2021,4/6/2022
48,RSJ,292/11,3/6/2021,4/6/2022
49,B-150,292/19,9/6/2021,10/6/2022
50,B-150,292/21,9/6/2021,10/6/2022
51,B-150,292/23,9/6/2021,10/6/2022
52,BFB,292/25,9/6/2021,10/6/2022
53,BFB,292/27,9/6/2021,10/6/2022
54,BFB,292/29,9/6/2021,10/6/2022
55,BFB,292/31,9/6/2021,10/6/2022
56,BFB,292/33,9/6/2021,10/6/2022
57,BFB,292/20,15/6/2021,16/6/2022
58,B-150,292/22,15/6/2021,16/6/2022
59,B-150,292/24,15/6/2021,16/6/2022
60,RSJ,292/26,15/6/2021,16/6/2022
61,B-150,292/28,30/6/2021,31/6/2022
62,B-150,292/30,30/6/2021,31/6/2022
63,RSJ,292/32,30/6/2021,31/6/2022
64,BFB,292/34,30/6/2021,31/6/2022
65,RSJ,293/07,19/6/2021,20/6/2022
66,BFB,293/09,19/6/2021,20/6/2022
67,B-150,293/11,19/6/2021,20/6/2022
68,BFB,293/13,19/6/2021,20/6/2022
69,B-150,295/07,5/6/2021,6/6/2022
70,RSJ,295/09,5/6/2021,6/6/2022
71,B-200,295/19,5/6/2021,6/6/2022
72,B-150,295/12,5/6/2021,6/6/2022
